id,category,question
83,2,What would help this team achieve its full potential?
84,2,"If you had to redesign some aspect of this company, what would it be?"
85,2,What little but touching effort did someone in the company make that you still remember?
86,2,What might your colleagues be surprised to learn about you?
87,3,What remains to be achieved? 
88,3,"If you were braver, what would you be doing with your life?"
89,3,I'd love you not to laugh if I told you that one of my secret aspirations is...
90,3,What do you want more of in your life in the time that remains?
91,3,"What smells, foods, textures, lights or scenes carry you back to the past in a particularly vivid way?"
92,3,What interests that you had in the past still live on in the adult you?
93,3,"If you could go back and reassure the younger you abotu something, what would it be?"
94,3,What are the ideal conditions for a family get-together?
95,3,How might the child in you be disappointed by your life as an adult?
96,3,The key to understanding me is to remember that...
97,3,What are the good things you learnt from your mother? And your father?
98,3,What are some sources of sadness in your life?
99,3,What would you like to stop being cross about?
100,3,What qualities do you long to find in a partner?
101,3,What should we perhaps all change about ourselves?
102,3,What was challenging about being a teenager?
103,3,What would you like to go back and correct in the past?
104,3,What could this family do better?
105,3,"If you had to redesign some aspect of this family, what would it be?"
106,3,How have you changed since you were five?
107,3,What negative thoughts do you have about yourself when you're down?
108,3,"That time, you weren't mean or bad; tell me what was going on..."
109,3,"If you never improved one bit, I'd still..."
110,3,What I don't tell you often enough is...
111,3,"When I'm moody, it's often at heart because..."
112,3,I'd love you to trust that...
113,3,I promise to be less defensive about...
114,3,What would you love to argue less about?
115,3,Describe the family you were jealous of when you were a child.
116,3,How would you like to evolve?
117,3,To whom have you been a bit too moody?
118,3,"Who in this family cut you some slack, and when?"
119,3,Thank someone in the family for something they did for you.
120,3,What little but touching effort did someone in this family make that you still remember?
121,3,In what ways do you feel grateful to your family?
122,3,What is your family rather good at?
123,3,What's especially endearing about someone in this family?
124,3,How are you a bad son / daughter?
125,3,What might your parents complain in you?
126,3,"If you could go back in time, what would you like to alter about your childhood and adolescence?"
127,3,What are your hopes for yourself for the next few years? 
128,3,What would help this family achieve its full potential?
129,4,"It's said that we worry about certain things to escape other, greater worries. What might these greater worries be for you?"
130,4,What still embarrases you about your parents?
131,4,What positive things have you learnt from your family?
132,4,What are your worst sides as a son / daughter?
133,4,What are your worst sides as a parent?
134,4,What haven't you been able to tell a partner?
135,4,Have you ever planned out a life with someone you have only just met?
136,4,What values do you think we share?
137,4,What do you think you could teach me?
138,4,One thing you've tuaght me is...
139,4,I'd love to reassure you that...
140,4,What I particularly appreciate about you is...
141,4,A moment when I felt especially connected to you was when...
142,4,"Describe a time when you had fun together in a silly, playful but very pleasing way. "
143,4,I feel tenderly towards you when...
144,4,"If I had to invent a new kindly nickname for you, I might call you..."
145,4,What I really admire about you is...
146,4,In what ways are you not yet fully mature (none of us are)?
147,4,In what ways are we a great team?
148,4,What motivates you?
149,4,How might you like to keep growing emotionally?
150,4,What makes you sulk?
151,4,One thing that you need to keep in mind about my past is...
152,4,How has your past influenced your views on money?
153,4,How might your parents have let you down?
154,4,What influence did your mother and father's housekeeping roles have on you as an adult?
155,4,Who is the person you've treated the worst in love in the past?
156,4,What do you have trouble expressing in love?
157,4,How might you evolve in the way you express disappointment with a partner?
158,4,"When was the last time you cried, and over what?"
159,4,What mistakes - your parents' or those of other people you've observed - would you not want to repeat with your own children?
160,4,What weaknesses of yours do you want to find compensation for in a partner?
161,4,What are you trying to escape through your addictions?
162,4,What's the worst thing you've ever done out of anger?
163,4,What are your misgivings about marriage?
164,4,Have you ever been involved with more than one person at once?
165,4,"How love-worthy do you feel, on a scale of 1-10?"
166,4,How might you be too romantic for your own good? Or not romantic enough?
167,4,"It makes me rather vulnerable to tell you this, but here goes..."
168,4,How might you be a problematic parent?
169,4,Have you ever felt insecure about a partner's past relationships?
170,4,What secrest have you kept from a partner?
171,4,How do you like to feel comforted / reassured in love?
172,4,How would you like to develop as a partner?
173,4,What elements of your mother do you find cropping up in your relationships?
174,4,How much money would you need to feel totally safe?
175,4,What would you love to ask me but don't quite dare?
176,4,I think my best qualities are...
177,4,"When I'm exhausted and need to recover, what I need from you is..."
178,4,What turns you on about your partner?
179,4,How would you like to come back together at the end of everyday? Describe it in detail. 
180,4,How have I let you down?
181,4,I rather like it when you tease me affectionately about...
182,4,What do you need me to remember about where you've come from?
183,4,"In what ways are we trying, in our present, to change the patterns of the past?"
184,4,How do you think we could make our relationship more surprising?
185,4,I need you to be especially generous about...
